category,item,source1,source1_link,source1_affiliate,source2,source2_link,source2_affiliate,source3,source3_link,source3_affilliate,V0,V1,V2,SW,VL,comments
Filament,Primary Color (Black),KVP Black,https://www.villageplastics.com/product/abs/,,,,,,,,,,X,,,
Filament,Secondary Color (Red),KVP Voron Red,https://www.villageplastics.com/product/abs/,,,,,,,,,,X,,,
Printed Parts,Printed Parts,Print Yourself,,,,,,,,,,,X,,,
Fasteners,M5x40 SHCS (ISO 4762 / DIN 912),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=6527,,,,,,,,,,X,,,
Fasteners,M5x30 BHCS (ISO 7380-1),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=15651,,,,,,,,,,X,,,
Fasteners,M5x16 BHCS (ISO 7380-1),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=15648,,,,,,,,,,X,,,
Fasteners,M5x10 BHCS (ISO 7380-1),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=15646,,,,,,,,,,X,,,
Fasteners,M4x6 BHCS (ISO 7380-1),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=18944,,,,,,,,,,X,,,
Fasteners,M3x40 SHCS (ISO 4762 / DIN 912),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=6387,,,,,,,,,,X,,,
Fasteners,M3x30 SHCS (ISO 4762 / DIN 912),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=13641,,,,,,,,,,X,,,
Fasteners,M3x20 SHCS (ISO 4762 / DIN 912),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=13639,,,,,,,,,,X,,,
Fasteners,M3x16 SHCS (ISO 4762 / DIN 912),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=13638,,,,,,,,,,X,,,
Fasteners,M3x12 SHCS (ISO 4762 / DIN 912),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=13637,,,,,,,,,,X,,,
Fasteners,M3x8 SHCS (ISO 4762 / DIN 912),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=13635,,,,,,,,,,X,,,
Fasteners,M3x6 BHCS (ISO 7380-1),Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=13334,,,,,,,,,,X,,,
Fasteners,M2x10 Self Tapping Screw for Plastics,McMaster-Carr (50 pack),https://www.mcmaster.com/99397A267/,,,,,,,,,,X,,,
Fasteners,M3 Threaded Insert,Aliexpress - M3x5x4,https://www.aliexpress.com/item/4000232858343.html,https://s.click.aliexpress.com/e/_dW3Uprs,,,,,,,,,X,,,
Fasteners,M4 knurled nut (DIN 466-B),,,,,,,,,,,,X,,,
Fasteners,5x10x1 Shim Ring (DIN 988),Aliexpress,https://www.aliexpress.com/item/32917948919.html,http://s.click.aliexpress.com/e/41Vkdm7q,,,,,,,,,X,,,
Fasteners,M3 Washer,Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=4513,,,,,,,,,,X,,,
Fasteners,M5 Hexnut,Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=4785,,,,,,,,,,X,,,
Fasteners,M3 Hexnut ,Bolt Depot,https://www.boltdepot.com/Product-Details.aspx?product=4783,,,,,,,,,,X,,,
